Year	Month	Day	MaxTemp(°C)	MinTemp(°C)	Temp(°C)
2022	1	1	-3	-8	-5
2022	1	2	-3	-14	-9
2022	1	3	-9	-18	-13
2022	1	4	3	-9	-3
2022	1	5	-5	-18	-12
2022	1	6	-9	-19	-14
2022	1	7	-9	-26	-18
2022	1	8	-7	-28	-18
2022	1	9	-6	-15	-10
2022	1	10	-9	-13	-11
2022	1	11	-4	-12	-8
2022	1	12	-2	-17	-9
2022	1	13	-17	-23	-20
2022	1	14	-14	-23	-19
2022	1	15	-5	-21	-13
2022	1	16	-2	-20	-11
2022	1	17	-15	-24	-19
2022	1	18	3	-15	-6
2022	1	19	1	-14	-6
2022	1	20	-14	-18	-16
2022	1	21	-11	-21	-16
2022	1	22	-9	-18	-14
2022	1	23	0	-12	-6
2022	1	24	-1	-3	-2
2022	1	25	-2	-18	-10
2022	1	26	-15	-22	-18
2022	1	27	-10	-16	-13
2022	1	28	-9	-15	-12
2022	1	29	0	-16	-8
2022	1	30	-2	-19	-10
2022	1	31	-15	-23	-19
2022	2	1	-14	-20	-17
2022	2	2	-17	-23	-20
2022	2	3	-9	-24	-17
2022	2	4	-4	-10	-7
2022	2	5	-7	-22	-15
2022	2	6	-10	-24	-17
2022	2	7	-13	-18	-15
2022	2	8	-14	-19	-16
2022	2	9	-12	-16	-14
2022	2	10	-7	-15	-11
2022	2	11	-11	-17	-14
2022	2	12	-7	-18	-13
2022	2	13	-18	-24	-21
2022	2	14	-14	-21	-17
2022	2	15	-14	-22	-18
2022	2	16	-16	-24	-20
2022	2	17	-13	-24	-19
2022	2	18	-7	-22	-14
2022	2	19	-8	-19	-13
2022	2	20	-15	-20	-17
2022	2	21	-8	-18	-13
2022	2	22	-4	-12	-8
2022	2	23	-11	-25	-18
2022	2	24	-9	-25	-17
2022	2	25	-5	-18	-11
2022	2	26	-13	-22	-17
2022	2	27	-10	-22	-16
2022	2	28	-6	-17	-11
2022	3	1	-3	-17	-10
2022	3	2	-2	-12	-7
2022	3	3	-4	-19	-11
2022	3	4	2	-6	-2
2022	3	5	-6	-19	-12
2022	3	6	-7	-21	-14
2022	3	7	-2	-13	-8
2022	3	8	0	-6	-3
2022	3	9	3	-4	-1
2022	3	10	8	-4	2
2022	3	11	8	0	4
2022	3	12	0	-9	-5
2022	3	13	-2	-10	-6
2022	3	14	0	-3	-2
2022	3	15	0	-8	-4
2022	3	16	2	-11	-5
2022	3	17	1	-8	-3
2022	3	18	-5	-12	-9
2022	3	19	-2	-13	-7
2022	3	20	3	-10	-3
2022	3	21	2	-10	-4
2022	3	22	-9	-15	-12
2022	3	23	-6	-16	-11
2022	3	24	0	-13	-7
2022	3	25	7	-9	-1
2022	3	26	5	1	3
2022	3	27	2	-6	-2
2022	3	28	-2	-9	-6
2022	3	29	3	-10	-3
2022	3	30	4	-1	2
2022	3	31	2	-5	-1
2022	4	1	2	-7	-2
2022	4	2	10	-3	4
2022	4	3	13	5	9
2022	4	4	5	-5	1
2022	4	5	1	-5	-2
2022	4	6	3	-6	-2
2022	4	7	6	-4	1
2022	4	8	6	-3	1
2022	4	9	7	0	4
2022	4	10	12	3	7
2022	4	11	8	3	6
2022	4	12	17	2	10
2022	4	13	22	2	12
2022	4	14	17	5	11
2022	4	15	14	2	8
2022	4	16	16	0	8
2022	4	17	20	6	13
2022	4	18	10	2	6
2022	4	19	12	1	6
2022	4	20	10	5	8
2022	4	21	12	5	8
2022	4	22	10	4	7
2022	4	23	6	2	4
2022	4	24	4	1	3
2022	4	25	12	1	6
2022	4	26	12	3	8
2022	4	27	15	5	10
2022	4	28	20	4	12
2022	4	29	17	6	12
